RSRP,SINR,ECI,ИњзйЧј,ЧјЯи,samples_of_tac,wgs_lon,wgs_lat,tac_cluster
-114.0,-3.0,198065160,22344.0,грвІ,1021,121.06702299999999,30.242432,22344_0
-111.0,-6.0,198065160,22344.0,грвІ,1021,121.06703,30.242375,22344_0
-114.0,2.0,208645442,22344.0,грвІ,1021,121.06716100000001,30.242331,22344_0
-115.0,-1.0,208645442,22344.0,грвІ,1021,121.066907,30.242557,22344_0
-115.0,-1.0,208645442,22344.0,грвІ,1021,121.066907,30.242557,22344_0
-114.0,0.0,208645442,22344.0,грвІ,1021,121.067012,30.242440000000002,22344_0
-117.0,-1.0,208645442,22344.0,грвІ,1021,121.06704099999999,30.242440999999996,22344_0
-117.0,-1.0,208645442,22344.0,грвІ,1021,121.06705,30.242316,22344_0
-116.0,0.0,208645442,22344.0,грвІ,1021,121.06704009999999,30.24231481,22344_0
-116.0,0.0,208645442,22344.0,грвІ,1021,121.067002,30.242375,22344_0
-111.0,-1.0,208645442,22344.0,грвІ,1021,121.067172,30.242397999999998,22344_0
-114.0,1.0,208645442,22344.0,грвІ,1021,121.06705,30.242397999999998,22344_0
-110.0,-3.0,208645442,22344.0,грвІ,1021,121.06705,30.24245,22344_0
-115.0,-1.0,208645442,22344.0,грвІ,1021,121.06692199999999,30.242472999999997,22344_0
-109.0,-4.0,208645442,22344.0,грвІ,1021,121.06696699999999,30.242209000000003,22344_0
-114.0,0.0,208645442,22344.0,грвІ,1021,121.06705,30.242286,22344_0
-115.0,-3.0,208645442,22344.0,грвІ,1021,121.06695,30.242515,22344_0
-117.0,-4.0,208645442,22344.0,грвІ,1021,121.06703999999999,30.242431,22344_0
-109.0,1.0,208645442,22344.0,грвІ,1021,121.06711499999999,30.242284,22344_0
-110.0,-3.0,208645442,22344.0,грвІ,1021,121.06693899999999,30.242462,22344_0
-107.3,0.22,265072773,22344.0,грвІ,1021,121.066867014982,30.242344833269236,22344_0
-97.0,0.0,156566913,22344.0,грвІ,1021,121.07205400000001,30.187596999999997,22344_1
-105.0,1.0,156566913,22344.0,грвІ,1021,121.07205400000001,30.187596999999997,22344_1
-100.0,-6.0,156566913,22344.0,грвІ,1021,121.072015,30.187713000000002,22344_1
-101.0,-1.0,156566913,22344.0,грвІ,1021,121.07203600000001,30.187734999999996,22344_1
-101.0,-4.0,156566913,22344.0,грвІ,1021,121.07203600000001,30.18775,22344_1
-101.0,2.0,156566913,22344.0,грвІ,1021,121.07203600000001,30.18775,22344_1
-102.0,-2.0,156566913,22344.0,грвІ,1021,121.071992,30.187794,22344_1
-107.0,0.0,156566913,22344.0,грвІ,1021,121.07223,30.187784000000004,22344_1
-110.0,0.0,156566913,22344.0,грвІ,1021,121.07223,30.187784000000004,22344_1
-100.0,0.0,156566913,22344.0,грвІ,1021,121.072027,30.187796000000002,22344_1
-111.0,-1.0,156566913,22344.0,грвІ,1021,121.07223799999998,30.187690000000003,22344_1
-101.0,2.0,156566913,22344.0,грвІ,1021,121.072083,30.187839,22344_1
-106.0,-2.0,156566913,22344.0,грвІ,1021,121.072083,30.187839,22344_1
-112.0,-2.0,156566913,22344.0,грвІ,1021,121.07211550000001,30.1876955,22344_1
-112.0,-2.0,156566913,22344.0,грвІ,1021,121.072083,30.187839,22344_1
-111.0,-2.0,156566913,22344.0,грвІ,1021,121.072083,30.187839,22344_1
-107.0,-4.0,156566913,22344.0,грвІ,1021,121.072083,30.187839,22344_1
-106.0,-2.0,156566913,22344.0,грвІ,1021,121.072083,30.187839,22344_1
-99.0,-4.0,156566913,22344.0,грвІ,1021,121.07222900000001,30.187640000000002,22344_1
-106.0,-3.0,156566913,22344.0,грвІ,1021,121.072317,30.187737,22344_1
-107.0,-1.0,156566913,22344.0,грвІ,1021,121.072083,30.187839,22344_1
-114.0,-3.0,156566913,22344.0,грвІ,1021,121.072083,30.187839,22344_1
-115.0,-2.0,156566913,22344.0,грвІ,1021,121.072083,30.187839,22344_1
-118.0,-4.0,214457410,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-116.0,0.0,214457410,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,1.0,214457410,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-123.0,-3.0,214457410,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-119.0,-2.0,214457410,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-120.0,-2.0,214457410,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-113.0,2.0,214457410,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-108.0,-2.0,214457410,22344.0,грвІ,1021,121.06704099999999,30.242440999999996,22344_0
-125.0,-0.4,214011464,22344.0,грвІ,1021,121.07525118101292,30.25459210171076,22344_3
-111.0,2.0,214011464,22344.0,грвІ,1021,121.07523459999999,30.25416828,22344_3
-114.0,0.0,214011464,22344.0,грвІ,1021,121.0751586,30.25419163,22344_3
-117.0,0.0,214011464,22344.0,грвІ,1021,121.0752909,30.25421008,22344_3
-116.0,0.0,214011464,22344.0,грвІ,1021,121.0753416,30.25417663,22344_3
-112.0,2.0,214011464,22344.0,грвІ,1021,121.0753342,30.25413916,22344_3
-112.0,2.0,214011464,22344.0,грвІ,1021,121.075349,30.25412459,22344_3
-112.0,0.0,214011464,22344.0,грвІ,1021,121.07540530000001,30.25412323,22344_3
-112.0,0.0,214011464,22344.0,грвІ,1021,121.07540530000001,30.25412325,22344_3
-111.0,1.0,214011464,22344.0,грвІ,1021,121.07540490000001,30.25412364,22344_3
-111.0,0.0,214011464,22344.0,грвІ,1021,121.07540459999998,30.25412417,22344_3
-114.0,0.0,214011464,22344.0,грвІ,1021,121.0753686,30.25415524,22344_3
-108.0,-4.0,214011464,22344.0,грвІ,1021,121.0753747,30.25417604,22344_3
-99.0,0.0,214011464,22344.0,грвІ,1021,121.075331,30.253877799999998,22344_3
-113.0,-2.0,208645445,22344.0,грвІ,1021,121.067176,30.242243,22344_0
-108.0,-2.0,208645445,22344.0,грвІ,1021,121.06703999999999,30.242389000000003,22344_0
-110.0,-6.0,208645445,22344.0,грвІ,1021,121.0671325,30.242337,22344_0
-113.0,-0.95,186811649,22344.0,грвІ,1021,121.07518026678646,30.254518586727276,22344_3
-113.0,1.3,186811649,22344.0,грвІ,1021,121.07518026678646,30.254518586727276,22344_3
-103.33333329999999,-5.2,186814465,22344.0,грвІ,1021,121.06715292503414,30.242925627570052,22344_0
-110.0,2.0,214671937,22344.0,грвІ,1021,121.0753951,30.2541703,22344_3
-120.3,1.1,157062529,22344.0,грвІ,1021,121.07541047184,30.25496656917753,22344_3
-115.0,-5.0,157062529,22344.0,грвІ,1021,121.07537909999999,30.25410446,22344_3
-115.0,-4.0,157062529,22344.0,грвІ,1021,121.0753416,30.25417677,22344_3
-118.0,-3.0,157062529,22344.0,грвІ,1021,121.0754314,30.25419181,22344_3
-119.0,-2.0,157062529,22344.0,грвІ,1021,121.0754315,30.25419143,22344_3
-120.0,-2.0,157062529,22344.0,грвІ,1021,121.0754315,30.25419142,22344_3
-119.0,2.0,157062529,22344.0,грвІ,1021,121.0753666,30.25412041,22344_3
-111.0,-4.0,157062529,22344.0,грвІ,1021,121.0753494,30.25412412,22344_3
-108.0,0.0,157062529,22344.0,грвІ,1021,121.0753304,30.25422797,22344_3
-105.0,2.0,157062529,22344.0,грвІ,1021,121.07538909999998,30.25415817,22344_3
-105.0,-1.0,157062529,22344.0,грвІ,1021,121.07538899999999,30.25415807,22344_3
-112.0,-2.0,157062529,22344.0,грвІ,1021,121.0754567,30.2541697,22344_3
-116.0,1.0,157062529,22344.0,грвІ,1021,121.07522890000001,30.25415891,22344_3
-108.0,0.0,157062529,22344.0,грвІ,1021,121.0756743,30.25403049,22344_3
-104.0,2.0,157062529,22344.0,грвІ,1021,121.07556670000001,30.25413749,22344_3
-122.0,2.0,157062529,22344.0,грвІ,1021,121.07528570000001,30.25483936,22344_3
-122.0,2.0,157062529,22344.0,грвІ,1021,121.07528470000001,30.25483875,22344_3
-121.0,2.0,157062529,22344.0,грвІ,1021,121.07528070000001,30.25483747,22344_3
-119.0,2.0,157062529,22344.0,грвІ,1021,121.0752604,30.25482819,22344_3
-100.0,-1.0,102988801,22344.0,грвІ,1021,121.07236,30.187765000000002,22344_1
-101.0,-3.0,102988801,22344.0,грвІ,1021,121.072134,30.187751000000002,22344_1
-103.0,0.0,102988801,22344.0,грвІ,1021,121.07202,30.187752000000003,22344_1
-101.0,1.0,214671940,22344.0,грвІ,1021,121.0752967,30.25388877,22344_3
-101.0,1.0,214671940,22344.0,грвІ,1021,121.0752966,30.25388897,22344_3
-102.0,-1.0,214671940,22344.0,грвІ,1021,121.0752992,30.25388889,22344_3
-101.0,0.0,214671940,22344.0,грвІ,1021,121.07532090000001,30.25389214,22344_3
-130.0,-9.0,214671940,22344.0,грвІ,1021,121.0750175,30.25425574,22344_3
-112.0,2.0,214671940,22344.0,грвІ,1021,121.0753371,30.25413949,22344_3
-116.0,1.0,214671940,22344.0,грвІ,1021,121.075429,30.25419515,22344_3
-115.0,2.0,214671940,22344.0,грвІ,1021,121.0754304,30.25419274,22344_3
-107.0,2.0,214671940,22344.0,грвІ,1021,121.07545220000002,30.2541663,22344_3
-108.0,0.0,214671940,22344.0,грвІ,1021,121.0754513,30.25416534,22344_3
-115.0,1.0,214671940,22344.0,грвІ,1021,121.07564209999998,30.2540576,22344_3
-111.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-118.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-116.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,2.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-116.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-113.0,2.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-109.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-112.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-114.0,2.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-116.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-113.0,2.0,156663682,22344.0,грвІ,1021,121.0708019,30.25175189,22344_2
-120.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-114.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,2.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,2.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-122.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-98.0,-4.0,186813698,22344.0,грвІ,1021,121.07529840000002,30.2538761,22344_3
-104.0,1.0,186813698,22344.0,грвІ,1021,121.0757057,30.25471224,22344_3
-97.0,-5.0,214011458,22344.0,грвІ,1021,121.0752981,30.25389973,22344_3
-96.0,-3.0,214011458,22344.0,грвІ,1021,121.0753153,30.25388499,22344_3
-116.0,0.0,214011458,22344.0,грвІ,1021,121.075428,30.25419627,22344_3
-116.0,0.0,214011458,22344.0,грвІ,1021,121.0754281,30.25419635,22344_3
-120.0,0.0,214011458,22344.0,грвІ,1021,121.0754283,30.25419606,22344_3
-109.0,2.0,214011458,22344.0,грвІ,1021,121.075425,30.25416509,22344_3
-111.0,2.0,214011458,22344.0,грвІ,1021,121.07539369999999,30.25416748,22344_3
-100.0,0.4,156603272,22344.0,грвІ,1021,121.07488439888158,30.254554682167193,22344_3
-117.0,-1.0,156603272,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-107.0,2.0,156603272,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-113.0,2.0,156603272,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-100.0,-1.0,156603272,22344.0,грвІ,1021,121.07533240000001,30.25387565,22344_3
-99.0,0.0,156603272,22344.0,грвІ,1021,121.07533229999999,30.25387559,22344_3
-101.0,0.0,156603272,22344.0,грвІ,1021,121.07533159999998,30.25387626,22344_3
-99.0,-1.0,156603272,22344.0,грвІ,1021,121.07533049999999,30.25387605,22344_3
-100.0,0.0,156603272,22344.0,грвІ,1021,121.07533190000001,30.25387773,22344_3
-101.0,-1.0,156603272,22344.0,грвІ,1021,121.07533159999998,30.2538779,22344_3
-99.0,-1.0,156603272,22344.0,грвІ,1021,121.075331,30.25387772,22344_3
-98.0,0.0,156603272,22344.0,грвІ,1021,121.07533000000001,30.25387744,22344_3
-100.0,1.0,186811653,22344.0,грвІ,1021,121.07529650000001,30.25388823,22344_3
-97.0,2.0,186811653,22344.0,грвІ,1021,121.07530659999999,30.25391111,22344_3
-98.0,0.0,186811653,22344.0,грвІ,1021,121.07529550000001,30.253894199999998,22344_3
-96.0,1.0,186811653,22344.0,грвІ,1021,121.0752998,30.25386297,22344_3
-99.0,0.0,186811653,22344.0,грвІ,1021,121.07532959999999,30.25387738,22344_3
-96.0,0.0,186811653,22344.0,грвІ,1021,121.0752676,30.25383102,22344_3
-111.0,1.8,186811650,22344.0,грвІ,1021,121.07518026678646,30.254518586727276,22344_3
-100.0,-1.0,186811650,22344.0,грвІ,1021,121.07529640000001,30.25388943,22344_3
-99.0,2.0,186811650,22344.0,грвІ,1021,121.0752992,30.25388906,22344_3
-101.0,-2.0,186811650,22344.0,грвІ,1021,121.0752842,30.25393041,22344_3
-104.2,-1.78,119783363,22344.0,грвІ,1021,121.0668438525311,30.242325692584284,22344_0
